mass_mjup,age_myr,t_int_k,req_rjup,metallicity_solar_dex,f560w_jy_10pc,f770w_jy_10pc,f1000w_jy_10pc,f1130w_jy_10pc,f1280w_jy_10pc,f1500w_jy_10pc,f1800w_jy_10pc,f2100w_jy_10pc,f2550w_jy_10pc,f1065c_jy_10pc,f1140c_jy_10pc,f1550c_jy_10pc,f2300c_jy_10pc
19.90374477854907,7896.52287,391.57850326,0.920472250601466,0.0,1.965055915561001e-05,2.1875148639501216e-05,6.521704817567197e-05,9.851068623622834e-05,9.372929532978706e-05,0.00010953266615758804,9.907558622842543e-05,8.35082051959853e-05,5.925323141248733e-05,4.6351590905982244e-05,0.00010085882368188666,0.00010482055603439012,7.373824551442257e-05
19.90374477854907,10000.0,371.95806898,0.9150693166508141,0.0,1.4582715958693326e-05,1.7159328191615793e-05,4.795883116338797e-05,7.56906412210977e-05,7.526807274093532e-05,9.236498564012364e-05,8.5930612369309e-05,7.463321558741155e-05,5.3371526923261535e-05,3.4619976189159714e-05,7.769004816035359e-05,8.89038325082647e-05,6.648854237490934e-05
53.42584124768433,1.0,2943.30679563,5.834869628196162,0.0,,,,,,,,,,,,,
53.42584124768433,1.2663801700000001,2942.99822388,5.701004402786326,0.0,,,,,,,,,,,,,
53.42584124768433,1.60371874,2942.84434602,5.631327457351872,0.0,,,,,,,,,,,,,
53.42584124768433,2.03091762,2942.64807767,5.559330117118,0.0,,,,,,,,,,,,,
53.42584124768433,2.5719138100000003,2942.34663494,5.453463381609131,0.0,,,,,,,,,,,,,
53.42584124768433,3.2570206600000002,2941.84644367,5.269726551572204,0.0,,,,,,,,,,,,,
53.42584124768433,4.1246263800000005,2940.89825726,4.8613936049068425,0.0,,,,,,,,,,,,,
53.42584124768433,5.22334507,2939.38791005,4.105468533947854,0.0,,,,,,,,,,,,,
53.42584124768433,6.61474064,2936.09283472,3.5495450490404523,0.0,,,,,,,,,,,,,
53.42584124768433,8.3767764,2924.08141883,3.1408860112460135,0.0,,,,,,,,,,,,,
53.42584124768433,10.6081836,2911.73506119,2.8192942780311085,0.0,,,,,,,,,,,,,
53.42584124768433,13.433993300000001,2897.77605406,2.55422812116041,0.0,,,,,,,,,,,,,
53.42584124768433,17.0125428,2875.25945895,2.328804564105075,0.0,,,,,,,,,,,,,
53.42584124768433,21.5443469,2859.41735319,2.136104655695742,0.0,,,,,,,,,,,,,
53.42584124768433,27.2833338,2832.10460379,1.966005071504504,0.0,,,,,,,,,,,,,
53.42584124768433,34.5510729,2798.14298839,1.8168002313405696,0.0,,,,,,,,,,,,,
53.42584124768433,43.754793799999995,2760.73193525,1.684815163109159,0.0,,,,,,,,,,,,,
53.42584124768433,55.4102033,2716.12784895,1.5672977978095453,0.0,,,,,,,,,,,,,
53.42584124768433,70.17038289999999,2663.1858053,1.4628013067615957,0.0,,,,,,,,,,,,,
53.42584124768433,88.86238159999999,2602.98171072,1.3699651766631231,0.0,,,,,,,,,,,,,
53.42584124768433,112.533558,2531.49992024,1.2872395258630336,0.0,,,,,,,,,,,,,
53.42584124768433,142.510267,2451.73465403,1.2137135179041012,0.0,,,,,,,,,,,,,
53.42584124768433,180.47217700000002,2359.86869925,1.1491715103088458,0.0,,,,,,,,,,,,,
53.42584124768433,228.54638599999998,2248.41569408,1.0935457742124992,0.0,,,,,,,,,,,,,
53.42584124768433,289.42661200000003,2138.64743308,1.0461009259497567,0.0,,,,,,,,,,,,,
53.42584124768433,366.52412400000003,2022.48749679,1.0050678408633134,0.0,,,,,,,,,,,,,
53.42584124768433,464.158883,1901.28310193,0.9698195403961283,0.0,,,,,,,,,,,,,
53.42584124768433,587.801607,1777.66717419,0.9399238637889554,0.0,0.004600999951782989,0.003154267554268606,0.0034535065026053344,0.002789259394010512,0.002101335898652947,0.0014384820238497798,0.0009934235307928572,0.0007473047275850277,0.0005147853414630582,0.0031191639645626454,0.0028005141714309363,0.0013235779855886051,0.000634390647888148
53.42584124768433,744.3803009999999,1663.30135598,0.9143203093632853,0.0,0.0037295260135384524,0.0025062699137306053,0.002951168631678819,0.0024271195723074143,0.0018405374557227301,0.0012597163758154668,0.000869247524863286,0.0006530910221604982,0.0004507175115305247,0.0026410136925118922,0.0024393775727724176,0.0011586482423324427,0.0005546387954966381
53.42584124768433,942.668455,1551.60354115,0.8921002788284004,0.0,0.00297849240298018,0.0019561270590042275,0.0024952888275015196,0.0020983428839574107,0.001605595905437486,0.0011005466775856148,0.0007590718023018838,0.0005694006068778545,0.0003937506972587202,0.0022052687984713396,0.0021114545168895945,0.0010119692943714508,0.00048383609911482845
53.42584124768433,1193.77664,1453.46334141,0.8726501253147206,0.0,0.002390124968150429,0.0015440393518245214,0.002122452883453217,0.001823429885238995,0.0014088382166630297,0.0009684301795276301,0.0006678308524620533,0.0004998256940211881,0.00034647269632517077,0.0018485519191369074,0.0018369751724914443,0.0008903283759602711,0.00042498171820178244
