t_int_k,log_g_cgs,mass_mjup,req_rjup,age_myr,metallicity_solar_dex,f070w_jy_10pc,f090w_jy_10pc,f115w_jy_10pc,f140m_jy_10pc,f150w_jy_10pc,f150w2_jy_10pc,f162m_jy_10pc,f164n_jy_10pc,f182m_jy_10pc,f187n_jy_10pc,f200w_jy_10pc,f210m_jy_10pc,f212n_jy_10pc,f250m_jy_10pc,f277w_jy_10pc,f300m_jy_10pc,f322w2_jy_10pc,f323n_jy_10pc,f335m_jy_10pc,f356w_jy_10pc,f360m_jy_10pc,f405n_jy_10pc,f410m_jy_10pc,f430m_jy_10pc,f444w_jy_10pc,f460m_jy_10pc,f466n_jy_10pc,f470n_jy_10pc,f480m_jy_10pc,f560w_jy_10pc,f770w_jy_10pc,f1000w_jy_10pc,f1065c_jy_10pc,f1130w_jy_10pc,f1140c_jy_10pc,f1280w_jy_10pc,f1500w_jy_10pc,f1550c_jy_10pc,f1800w_jy_10pc,f2100w_jy_10pc,f2300c_jy_10pc,f2550w_jy_10pc
700.0,4.7497,21.778887049791322,0.9740889889777877,1406.0475241299127,0.5,6.394093167055554e-08,1.569275664538432e-05,0.0002880577472668765,1.1616703908088591e-05,0.00010555194489344713,0.0001651130348507913,0.00019447105041400713,4.12930498048504e-05,2.4968269308740407e-05,2.2347379284744052e-05,0.00010186011449371636,0.00021360060576275253,0.0003081588466442886,2.3793762373214922e-05,3.6932276642614054e-05,6.084298602284646e-05,0.00010684548136317604,1.582218579529651e-05,2.7685802724413843e-05,0.00016483268006046441,0.000150328277073215,0.0009110762383229003,0.0008836065366732281,0.0011512517940844113,0.0010492386500339363,0.001285831319985297,0.00117622357581408,0.001227121598023339,0.0010886600346323042,0.0003017904412188212,0.000222176335812848,0.000509008224878736,0.0002997265121960388,0.0005341022899503844,0.0005551686323308607,0.0004541735099151272,0.00039120792135881197,0.0003629165719912247,0.00032531091859599613,0.0002428835824734277,0.00020629926467798844,0.00017171082704320112
750.0,4.7497,22.093156704189465,0.9818739159626253,1164.1260294104932,0.5,8.926816346029882e-08,2.3999403082780294e-05,0.0004033493486892855,2.056342256123585e-05,0.00015829622570574112,0.0002415928738720217,0.00028233076181605156,7.138385536016626e-05,4.4136868821995914e-05,3.868431223689819e-05,0.0001613270379493729,0.00033105778118605155,0.00045759332426688825,3.6539967774360436e-05,5.883164609360151e-05,9.563471324515197e-05,0.00014406613994432692,2.4754915031361812e-05,3.986164343176176e-05,0.00021391756183776456,0.00019540844105541717,0.001152016448522486,0.0010895852112362764,0.0013594691602388117,0.0012470221281133487,0.0014722541934404651,0.0013702148816471778,0.0014203202533381609,0.0012737705393462096,0.00039793010820740626,0.0002850341919800425,0.0006566383447588606,0.0003959441402174726,0.0006673124691652795,0.0006929940088238669,0.0005630225118544191,0.00045731082322809474,0.00042199765729696124,0.00036458658105113534,0.00027183138632003216,0.0002305147712762729,0.0001932407702952034
800.0,4.7497,22.407426358587607,0.988685727074358,986.2794856312099,0.5,1.2732023747894146e-07,3.533447476025359e-05,0.0005483804454448212,3.4882358404034135e-05,0.00022849347363049487,0.0003422838434758234,0.0003965163319491938,0.00012312080319196452,7.55470029539032e-05,6.461703109908165e-05,0.00024463112920442996,0.0004892221140578023,0.0006585464303464437,5.457284059183882e-05,9.011953039767994e-05,0.0001443851472136148,0.00019123640019182096,3.64554849648584e-05,5.515154967948164e-05,0.00027255369869186855,0.0002490280340160614,0.0014360374305157336,0.0013236288971355712,0.0015745998292101139,0.0014594066471519606,0.0016576153508514933,0.0015688792533818169,0.0016161698475907586,0.0014655205748567719,0.0005119293626225419,0.0003548114938264297,0.0008264718007202418,0.0005189722305458669,0.0008228739614935657,0.0008535583200895699,0.0006871145103756672,0.0005306587381719191,0.00048698295428038654,0.0004059791033062609,0.0003020661915312774,0.0002555648021037731,0.00021567549327839157
850.0,4.7497,22.732171668132356,0.9954975381860908,845.2788451602892,0.5,1.7877480788023171e-07,5.0095602011564054e-05,0.000725576218765522,5.671694108491273e-05,0.00031884390539889553,0.0004710732462806165,0.0005428331481186911,0.0002115262742730967,0.0001259585231677675,0.00010533054225648399,0.0003572023932566228,0.0006921602904479892,0.0009178937231009214,8.046066913997954e-05,0.000134966131502789,0.0002124355522276863,0.00025262625266013667,5.211554934703999e-05,7.489663053334793e-05,0.00034471285549234466,0.00031445078264998543,0.0017765326762677741,0.0015950375809520995,0.001799159722269972,0.0016923020479126662,0.0018449474475515568,0.0017749629002865293,0.0018175526493759387,0.0016664472078530932,0.0006492516170910725,0.0004337108830703124,0.0010210070949553804,0.000678973211847154,0.0010033088428526567,0.0010385655676399882,0.0008270467893001228,0.0006120939402628048,0.0005590062196657544,0.00045061644809621425,0.00033458414721721706,0.0002822957111066258,0.0002396645499541662
900.0,4.7497,23.0569169776771,1.0023093492978234,734.5138681571143,0.5,2.479127597957101e-07,6.915125717132332e-05,0.0009390364276536792,8.839125903823253e-05,0.0004337884656232054,0.0006326850901490216,0.0007327728333071537,0.00035899185898123284,0.0002027349573331512,0.00016636179590349916,0.000502934282152552,0.0009401602386167876,0.001238773881359401,0.00011775948020374029,0.00019867090952260645,0.00030579766153775384,0.00033311123454487644,7.349819607868196e-05,0.00010103484045444646,0.0004345759017424057,0.00039533053483506073,0.002182122262029974,0.0019093052203923897,0.0020284713587058007,0.0019470599335984946,0.0020346232361795704,0.001987417181330862,0.0020238904447424516,0.0018753898448773392,0.0008158650326506179,0.000526387248330112,0.0012414496774927368,0.0008866640903199713,0.0012065183180453977,0.0012451816730969297,0.0009806859650504916,0.0007021345759817706,0.0006388803341545157,0.0005000473383982684,0.00037068898398604703,0.00031203880066328334,0.00026656777069887505
950.0,4.7497,23.40261359751506,1.010094276282661,644.1692655151761,0.5,3.386044333261765e-07,9.362724405726596e-05,0.0011922895018677254,0.00013140306035911215,0.0005768713360583677,0.0008303998078289434,0.0009796596933230302,0.0005917030392331399,0.00031119198295223723,0.00025179702814153175,0.0006817249676665741,0.0012274357265721482,0.0016158214161998733,0.00017242956000674604,0.0002888977237406067,0.000431758364546264,0.00043984749202330116,0.0001032971168514572,0.00013645279629764345,0.0005486266752653394,0.0004975895831649315,0.0026520771883549532,0.0022682006992928955,0.0022556384030602084,0.0022221964015685224,0.002222210523971207,0.002201861511165846,0.0022319679805903074,0.002090223085492177,0.0010195870716873173,0.0006378399543456151,0.0014853473987721153,0.0011469886490191189,0.0014257090946753522,0.0014653102919877515,0.001143741290582265,0.0008000579406800845,0.0007269782873738971,0.0005555399814762807,0.00041182645359252645,0.00034602971894073136,0.0002974487854890522
1000.0,4.7497,23.769261527646226,1.0178792032674986,567.5446054085465,0.5,4.5813386946352326e-07,0.00012534486877300387,0.0014875851694864967,0.00018780303222217762,0.0007555824117953097,0.0010695188418591531,0.0013079281288610482,0.0009491151811132328,0.00045659059341367626,0.00036479191134161805,0.0008968261023059162,0.0015566757500053536,0.0020563468016355155,0.0002514350163390166,0.00041176520020000834,0.0005932570665557205,0.0005795798524893547,0.00014427755037030223,0.00018415917469093146,0.0006937282816304492,0.0006274561783368624,0.0031936935412325753,0.0026797132274562836,0.0024795388653644566,0.002520497552164898,0.0024081665519545053,0.002417636924428323,0.00243999895309192,0.002308309080415232,0.0012627834459068236,0.0007705789124496071,0.001739902050760165,0.0014419549093817269,0.0016463645266328356,0.0016854832463303157,0.001305942573403289,0.0009014063226981986,0.000820014099875209,0.0006164798982661365,0.0004577398047186836,0.0003843421011101589,0.0003324423931490246
1100.0,4.7497,24.575886973934796,1.0353952889833828,449.7798548932884,0.5,8.394759139976374e-07,0.00022065682251781868,0.0022186071077291013,0.0003489769317869365,0.001257733996390038,0.0017017316647080537,0.002330242720789447,0.0022127469968784307,0.0008742206887261643,0.0006758145846779503,0.0014497984796903681,0.002365924055674916,0.0031615711507472053,0.0005170590691498214,0.0007734728607797544,0.001020317557492661,0.000988386033667541,0.00027335012699794076,0.0003313718100298572,0.0011215370885214084,0.0010113713340910483,0.004520677853246883,0.003705954474841535,0.002926655741675317,0.0032069524454068723,0.00277835489603747,0.002849651034605807,0.0028614808249084038,0.0027529261426131302,0.0018652252243578878,0.0011010962409621105,0.002233139225039398,0.0020240861817656768,0.0020488720594629356,0.0020831174645760293,0.0016044076349253581,0.0010998019363989142,0.0010053471242901743,0.0007518333043986064,0.0005628903975310976,0.00047241556698442486,0.0004134488611520853
1200.0,4.7497,25.455842006249593,1.052911374699267,363.9150361272071,0.5,1.6167140032664884e-06,0.00038381550945973804,0.003149043935784198,0.0005929156040012645,0.0020220473444724717,0.0025971287507924826,0.0040486202221151875,0.0044332763085755626,0.0014911338871768764,0.0010922225029070408,0.002219268863421926,0.003471416153249995,0.004657022755277416,0.0009768652033658495,0.0012883281018233887,0.0015661048697929011,0.001626036612054915,0.0005168352899578485,0.0006033204968107939,0.001855815851754567,0.0016980031047356512,0.0062216950385986566,0.005093399718932304,0.0033788646871347645,0.004047591917409916,0.003146936357587831,0.0032771095530963724,0.0032846613480660776,0.0031988470855040655,0.0025889460473648377,0.001533309124125752,0.0026773734967261596,0.0024981178351139387,0.002382909342613586,0.002412719309638192,0.0018561252553352357,0.0012749875969975655,0.0011719451336026265,0.0008921046436551881,0.0006768909069212857,0.0005695336647144,0.0005052631205646594
1300.0,4.7497,26.40912662459063,1.0733468080344655,300.6076302628229,0.5,3.373440386837102e-06,0.0006471761736918063,0.004285290617459702,0.0009558616550964737,0.003087383650606698,0.0038132594921435935,0.00651482088571103,0.0075268066510283645,0.0023524244250439736,0.0016203428608973407,0.0033076159688923243,0.005023576729415501,0.0066697869244277015,0.0016335199393377037,0.0019042036794534672,0.0021964026549466625,0.002538792461018552,0.0009836759196355973,0.0011105806951307662,0.0030594122409421456,0.002906335053574003,0.008289155369480723,0.006889867658480721,0.0038848931636229944,0.005071088151256981,0.0035350223178767766,0.0037144472912253998,0.003724726939214707,0.0036517076389231953,0.0033167541407564884,0.0020427815183013272,0.00308679565313984,0.0028794445522759716,0.002676126015665673,0.0027039969661685564,0.0020720767609887433,0.001420701895836725,0.0013103990211364976,0.0010141691602426892,0.0007766260611075366,0.0006545040224779432,0.0005914404178272964
1400.0,4.7497,27.477643449544317,1.0947553572427684,252.34807724805702,0.5,7.93281196260191e-06,0.0010409211671216399,0.005672619323057879,0.0015146095122133025,0.004468783141679339,0.005413758517292446,0.00952567236726816,0.011101955443364328,0.003539296935008152,0.002342128722224319,0.0048631627068152885,0.007189781297685547,0.009337104082538978,0.002493574109147751,0.002635789721004019,0.002939750818787815,0.0037551346987337872,0.001720490028858154,0.0019056964282591028,0.004782291889911549,0.004785706274285128,0.010690801846655905,0.009061717523413676,0.0045812905918026165,0.006308175974260935,0.004003107012712342,0.004226675242489039,0.0042461882087772755,0.0041696534384106,0.004027269008144736,0.0025598639245256144,0.0035156798512902426,0.003259939648372346,0.0029813167493034456,0.00300890087076273,0.002292487836156397,0.0015649633095516152,0.0014447885127934876,0.001125406864923848,0.0008645901431373183,0.0007286354215283187,0.0006731458923530021
1500.0,4.7497,28.661392481110656,1.118110138197281,215.27817347243737,0.5,2.7645458683992698e-05,0.0016210874365119447,0.007395849755281718,0.0026521702550808724,0.006471248539891308,0.007769640418941508,0.013188375988959989,0.015205276431029159,0.005683510150993698,0.003847847398021167,0.007619319058367647,0.010725323491169713,0.013341521487153299,0.00407507156431758,0.003908628910529241,0.004215275846471146,0.005833605279257417,0.0032756456885310657,0.0036399756634088827,0.007750795527738679,0.008345526105762741,0.01397364030813036,0.012089543994040745,0.005845212710498862,0.008102296276961721,0.004752375628145535,0.0050537291198457165,0.005094631775598414,0.0049821041254024985,0.004992513869036996,0.003165385437233006,0.004138224046599131,0.0038160516129358978,0.003426990653725094,0.003454717659667644,0.002605028266018846,0.001757558543133893,0.0016192351394448525,0.0012583880921458758,0.0009638619585740619,0.0008100551734487294,0.0007700397777639565
1600.0,4.7497,30.033703305315882,1.1443842667711073,185.7804455091699,0.5,7.140081351527267e-05,0.002343147348474616,0.00962266042047335,0.0041802683311104975,0.008826554355146737,0.010558532474379411,0.017021306027462737,0.019297264962535525,0.008211414212169478,0.005715081131034774,0.010732838636911221,0.014541455546915653,0.017583413933251905,0.0059791267497669946,0.005437885764792044,0.005788047946091599,0.008381813629073597,0.006130439911776518,0.006776297740514634,0.011461570233765686,0.012707045938914559,0.01707693007042025,0.015000656974529408,0.00732839449825794,0.009936008629024813,0.005652261940796029,0.006025913316457844,0.006098516455464602,0.005935037672875979,0.006044004792023931,0.003902409498071952,0.004754638251727042,0.004372381821269822,0.003874512978566204,0.0039022650118174227,0.0029256146361041923,0.0019638805999074686,0.0018072373769352755,0.0014012598550384215,0.001071318982097807,0.000898707653067012,0.0008790561972378635
1700.0,4.7497,31.573624611866784,1.1735777429642478,161.80800376430645,0.5,0.00014022482929940667,0.0032299327497202278,0.012673725018069522,0.006155672131165777,0.011710672616171515,0.01395390493831431,0.021517511314412974,0.02406004082976813,0.011145270155135948,0.007922866169021539,0.01419680836275726,0.018680611133162512,0.022186659587942817,0.008109347665996833,0.007169352266624308,0.007571462923416207,0.011225004402299663,0.009792127057156246,0.010818847521899369,0.015587964210692204,0.017293787571119292,0.020197581070078678,0.017967835381606262,0.009025607432110326,0.011890298568407275,0.006723477564162513,0.007159707497252014,0.007277724981948095,0.007045241424651242,0.0071712747209335456,0.004734687501364795,0.005375326888008198,0.004939759896676153,0.00433517546385994,0.004362212320228189,0.003261415117979051,0.002188779437110017,0.0020123435219567562,0.0015559874148366253,0.0011885188662487608,0.00099564803279439,0.0010027751429142382
1800.0,4.7497,33.29163205590997,1.2047174509035976,142.23287871228212,0.5,0.00022960054785132897,0.004341113692167032,0.016796203196895634,0.008663875443245577,0.015258149998326765,0.018126426734927217,0.02697135963930851,0.029861160377156103,0.01454535482300631,0.010484053778103004,0.018072463654041703,0.02322256354858761,0.027233679364871123,0.010450565702508258,0.009085198070560562,0.009495812267146474,0.014217743666086807,0.013584642068295903,0.015133924394337942,0.019821189791655106,0.021793414550201538,0.0234700816247596,0.02109669770950114,0.010940028162835512,0.014022312450547317,0.007973293666435321,0.008463252145607326,0.008634527956855504,0.00832219025404041,0.008377831860340348,0.005610927278720429,0.006005138109508614,0.005519812428468474,0.004811982951530169,0.004837531878922573,0.003615137332480429,0.002432334164845815,0.002235235879383156,0.0017227634133695883,0.001315907250973853,0.0011010950239862436,0.0011429379151920622
1900.0,4.7497,35.19820129259203,1.2387765064622616,126.76518658578448,0.5,0.00038695230677163726,0.005873652378319133,0.022280228472741914,0.012706227882082848,0.02035676860265737,0.023851637485440714,0.03405732392394904,0.0373434742432634,0.019780107156093945,0.014764975137488359,0.02365490455192171,0.029336885106338882,0.03376062826592572,0.01435963496879228,0.012357750993226429,0.012633818690818206,0.01850250626777867,0.018742890156913643,0.021029932561550776,0.02529450121912065,0.02736038977287848,0.02765152194824514,0.025206897767166805,0.014054843042963826,0.01714458906247864,0.010201175988848588,0.01074850245529912,0.011006491942739737,0.010549905269459633,0.01028817824749169,0.006876047054336478,0.006864789109707596,0.006320168252259722,0.005475565771557982,0.005499568806685121,0.0041241141740056666,0.0027908164873310113,0.002562900583740712,0.0019657738794076553,0.001499110617230688,0.001251795655640603,0.0013403869781008892
