name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,star_aliases
2MASS J0034+0523,Confirmed,42.13,26.46,26.46,,,,0.94,0.16,0.16,,,,,,,,,,,,,,2004,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,82.0,82.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00345157+0523050,,,8.714904,5.384749,,,,,,8.2,1.5,1.5,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J00413538-5621127 A,Confirmed,30.0,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,45990.0,13500.0,31400.0,8.9,1.9,3.7,,,,,,,,2010,2022-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0045+1634,Confirmed,22.71,7.95,7.95,,,,1.62,0.06,0.06,,,,,,,,,,,,,,2019,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.0,53.0,53.0,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,2MASS J00452143+1634446,,,11.3392916738,16.5790555768,,,,,,15.4,0.05,0.05,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0050-3322,Confirmed,40.34,25.54,25.54,,,,0.94,0.16,0.16,,,,,,,,,,,,,,2005,2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,71.0,71.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J00501994-3322402,,,12.583098,-33.377853,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,"LEHPM 503, 2MASS J00215427-4514590, TIC 7151346, Gaia DR3 4990729737137865856, WISEA J002154.47-451500.2, Gaia DR2 4990729737137865856"
2MASS J0051-5913 b,Confirmed,30.0,,,,,,,,,10034580.0,,,462.0,,,,,,,,,,2017,2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00514081-5913320 b,,2MASS J0051-5913,12.92007966339,-59.22557799511,16.35,,11.28,10.7,10.4,42.4752,0.0903,0.0903,,,,0.256,0.02,0.02,0.281,0.0085,0.0085,M4.4,,,,3072.0,157.0,157.0,,,2MASS J00514081-5913320,"2MASS J00514081-5913320, TIC 281779297, Gaia DR3 4903834989597325312, Gaia DR2 4903834989597325312"
2MASS J0052+0012,Confirmed,58.0,,,,,,,,,,,,,,,,,,,,,,2011,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00521232+0012172,,,13.051343,0.204792,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2MASS J00514081-5913320, TIC 281779297, Gaia DR3 4903834989597325312, Gaia DR2 4903834989597325312"
2MASS J0052+0012 b,Confirmed,36.0,,,,,,,,,,,,49.0,,,,,,,,,,2011,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J00521232+0012172 b,,,13.051343,0.204792,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2MASS J00514081-5913320, TIC 281779297, Gaia DR3 4903834989597325312, Gaia DR2 4903834989597325312"
2MASS J0103+1935,Confirmed,15.07,10.69,10.69,,,,1.34,0.13,0.13,,,,,,,,,,,,,,2000,2024-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231.0,117.0,117.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01033203+1935361,,,15.883488,19.593384,,,,,,21.3,3.4,3.4,,,,,,,,,,,,,,,,,,,,"2MASS J00514081-5913320, TIC 281779297, Gaia DR3 4903834989597325312, Gaia DR2 4903834989597325312"
2MASS J0103-5515 (AB)b,Confirmed,10.5,1.1,1.1,,,,1.54,0.03,0.03,,,,84.0,,,,,,,,,,2013,2025-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731.0,96.0,96.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,"Delorme 1 (AB)b, 2MASS J01033563-5515561 (AB)b",H,2MASS J0103-5515,15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,"Delorme 1, 2MASS J01033563-5515561","2MASS J01033563-5515561, WISEA J010335.77-551556.6, UCAC3 70-2386, UCAC4 174-001025, SCR J0103-5515, DENIS J010335.6-551556, WISE J010335.75-551556.6, ** DLR 1AB, WDS J01036-5516AB, Gaia DR2 4914632365579875200, TIC 206502540, Gaia DR3 4914632365579875200"
